restaurant_name	boro	building	street	zipcode	cuisine	inspection_date	action	violation_code	violation_description	critical_flag	score	grade	grade_date	inspection_type
OLIVE GARDEN	BROOKLYN	505	GATEWAY DRIVE	11239	Italian	3/27/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	3/27/15	Cycle Inspection / Re-inspection
PANADERIA LA MIXTECA POBLANA & DELI	STATEN ISLAND	104	VICTORY BOULEVARD	10301	Salads	11/20/13	Establishment re-opened by DOHMH	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	C	11/20/13	Cycle Inspection / Reopening Inspection
MAKE MY CAKE	MANHATTAN	121	ST NICHOLAS AVENUE	10026	Bakery	11/22/13	Violations were cited in the following area(s).	04N	Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.	Critical	14	B	11/22/13	Cycle Inspection / Re-inspection
MICHAEL & SONS ITALIAN FOOD & PIZZA	QUEENS	19213	47 AVENUE	11358	Pizza	1/2/14	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	11	A	1/2/14	Cycle Inspection / Initial Inspection
OLEANDR RESTAURANT	BROOKLYN	410	BRIGHTON BEACH AVE	11235	Russian	10/30/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	10/30/13	Cycle Inspection / Initial Inspection
PANTASTIC	QUEENS	4202	NORTHERN BLVD	11101	Korean	8/20/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	5	A	8/20/15	Pre-permit (Operational) / Initial Inspection
EAST PACIFIC PAN ASIAN BISTRO	MANHATTAN	120	EAST   34 STREET	10016	Asian	8/12/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	23	B	8/12/15	Cycle Inspection / Re-inspection
MCDONALD'S	BRONX	2170	WHITE PLAINS ROAD	10462	Hamburgers	5/13/13	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	10	A	5/13/13	Cycle Inspection / Initial Inspection
ROAST	MANHATTAN	1569	LEXINGTON AVE	10029	Jewish/Kosher	11/24/15	Violations were cited in the following area(s).	10C	Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.	Not Critical	19	B	11/24/15	Pre-permit (Operational) / Re-inspection
ROWE'S RESTAURANT	BROOKLYN	1118	FULTON STREET	11238	Caribbean	9/26/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	13	A	9/26/15	Cycle Inspection / Initial Inspection
BAKERI	BROOKLYN	150	WYTHE AVENUE	11249	Bakery	12/12/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	12/12/13	Cycle Inspection / Initial Inspection
BAIRES BAKERY	QUEENS	9009	ROOSEVELT AVENUE	11372	Bakery	7/11/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10	A	7/11/16	Cycle Inspection / Initial Inspection
MINETTA TAVERN	MANHATTAN	113	MACDOUGAL STREET	10012	French	3/11/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	3/11/15	Cycle Inspection / Re-inspection
CLUB MACANUDO (CIGAR BAR)	MANHATTAN	26	EAST   63 STREET	10065	American	4/28/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	11	A	4/28/16	Cycle Inspection / Initial Inspection
EXTRA FANCY	BROOKLYN	302	METROPOLITAN AVE	11211	American	3/20/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	3/20/15	Cycle Inspection / Initial Inspection
JIMMY RYAN'S	BRONX	3005	MIDDLETOWN ROAD	10461	American	3/12/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	20	B	3/12/15	Cycle Inspection / Re-inspection
SANTINA	MANHATTAN	820	WASHINGTON ST	10014	Armenian	7/28/16	Violations were cited in the following area(s).	02B	Hot food item not held at or above 140 degrees F.	Critical	13	A	7/28/16	Cycle Inspection / Re-inspection
EAST DIM SUM	QUEENS	6006	MAIN STREET	11355	Chinese	1/21/15	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	13	A	1/21/15	Cycle Inspection / Re-inspection
MARIA'S	QUEENS	3811	BELL BOULEVARD	11361	Greek	12/30/15	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	11	A	12/30/15	Cycle Inspection / Initial Inspection
PITUSA BAKERY	BRONX	831	EAST  149 STREET	10455	Bakery	9/22/15	Violations were cited in the following area(s).	06F	Wiping cloths soiled or not stored in sanitizing solution.	Critical	10	A	9/22/15	Cycle Inspection / Re-inspection
PARAISO COLOMBIANO RESTAURANT	QUEENS	10620	CORONA AVE	11368	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	6/16/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	10	A	6/16/16	Cycle Inspection / Re-inspection
Yummy House	BRONX	2452	EASTCHESTER RD	10469	Chinese	6/10/14	Violations were cited in the following area(s).	04D	Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.	Critical	10	A	6/10/14	Cycle Inspection / Initial Inspection
GIACOMO'S WOOD FIRED PIZZA	BROOKLYN	7902	THIRD AVENUE	11209	Italian	3/13/14	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	11	A	3/13/14	Cycle Inspection / Initial Inspection
CHARTWELLS	MANHATTAN	118	WEST   13 STREET	10011	American	2/19/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	8	A	2/19/15	Cycle Inspection / Initial Inspection
HONG KONG KITCHEN	BRONX	649	ALLERTON AVENUE	10467	Chinese	9/9/14	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	9	A	9/9/14	Cycle Inspection / Re-inspection
TEALICIOUS EXPRESS	QUEENS	3948	QUEENS BLVD	11104	Juice, Smoothies, Fruit Salads	1/5/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	1/5/16	Cycle Inspection / Re-inspection
LADUREE	MANHATTAN	864	MADISON AVENUE	10021	Nuts/Confectionary	6/7/13	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	12	A	6/7/13	Cycle Inspection / Initial Inspection
525 LEX RESTAURANT & LOUNGE	MANHATTAN	525	LEXINGTON AVE	10017	American	5/15/13	Violations were cited in the following area(s).	09B	Thawing procedures improper.	Not Critical	24	B	5/15/13	Cycle Inspection / Re-inspection
DOJO RESTAURANT	MANHATTAN	10	WEST 4 STREET	10012	Japanese	5/19/15	Violations were cited in the following area(s).	04K	Evidence of rats or live rats present in facility's food and/or non-food areas.	Critical	29	C	5/19/15	Cycle Inspection / Re-inspection
BROOKLYN STEAK CO.	BROOKLYN	1316	AVENUE M	11230	Jewish/Kosher	12/8/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	12	A	12/8/14	Cycle Inspection / Initial Inspection
SECARA	MANHATTAN	234	E 4TH ST	10009	Spanish	6/22/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	13	A	6/22/16	Pre-permit (Operational) / Initial Inspection
GAKYI ZOMPE RESTAURANT	QUEENS	4711	47TH AVE	11377	Thai	9/30/14	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	Critical	13	A	9/30/14	Cycle Inspection / Re-inspection
AJISEN RAMEN	QUEENS	13620	38 AVENUE	11354	Japanese	7/15/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	19	B	7/15/15	Cycle Inspection / Re-inspection
STAND 430 (BURGERS & FRIES)	QUEENS	126	ROOSEVELT AVENUE	11368	American	4/30/15	Violations were cited in the following area(s).	04A	Food Protection Certificate not held by supervisor of food operations.	Critical	10	A	4/30/15	Cycle Inspection / Initial Inspection
IL CAFFE LATTE 2	MANHATTAN	458	WEST 145TH STREET	10031	Italian	6/28/16	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	7	A	6/28/16	Cycle Inspection / Initial Inspection
BLACKOUT LOUNGE	QUEENS	13316	39 AVENUE	11354	Bottled beverages, including water, sodas, juices, etc.	12/14/13	Violations were cited in the following area(s).	10H	Proper sanitization not provided for utensil ware washing operation.	Not Critical	26	B	12/14/13	Cycle Inspection / Re-inspection
MCALEER'S PUB	MANHATTAN	425	AMSTERDAM AVENUE	10024	Irish	12/26/12	Violations were cited in the following area(s).	04C	Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.	Critical	27	B	12/26/12	Cycle Inspection / Re-inspection
PERSHING SQUARE CAFE	MANHATTAN	90	EAST   42 STREET	10017	American	2/3/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	2/3/16	Cycle Inspection / Initial Inspection
BAMONTE'S RESTAURANT	BROOKLYN	32	WITHERS ST	11211	Italian	4/3/15	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	7	A	4/3/15	Cycle Inspection / Re-inspection
CORONA PARK CAFE	QUEENS	12500	NORTHERN BLVD	11368	American	7/24/14	Establishment re-opened by DOHMH	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	2	C	7/24/14	Pre-permit (Operational) / Reopening Inspection
BOSTON MARKET	QUEENS	5124	NORTHERN BOULEVARD	11377	American	6/17/14	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	12	A	6/17/14	Cycle Inspection / Re-inspection
CAFE LOUP	MANHATTAN	105	WEST   13 STREET	10011	French	3/27/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	13	A	3/27/15	Cycle Inspection / Re-inspection
WU LIANG YE RESTAURANT	MANHATTAN	36	WEST   48 STREET	10036	Chinese	12/12/14	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	36	C	12/12/14	Cycle Inspection / Re-inspection
SERBIAN ASSOCIATION	QUEENS	7254	65TH PL	11385	Eastern European	12/4/15	Violations were cited in the following area(s).	09B	Thawing procedures improper.	Not Critical	5	A	12/4/15	Cycle Inspection / Re-inspection
GRAN ELECTRICA	BROOKLYN	5	FRONT STREET	11201	Mexican	12/3/13	Violations were cited in the following area(s).	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	9	A	12/3/13	Cycle Inspection / Initial Inspection
900 PARK	BRONX	900	MORRIS PARK AVENUE	10462	Italian	2/19/15	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	12	A	2/19/15	Cycle Inspection / Initial Inspection
SAFARI BEACH CLUB	QUEENS	4005	BELL BOULEVARD	11361	American	6/28/14	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	27	B	6/28/14	Cycle Inspection / Re-inspection
PHO BANG RESTAURANT	QUEENS	8290	BROADWAY	11373	Vietnamese/Cambodian/Malaysia	7/2/14	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	26	B	7/2/14	Cycle Inspection / Re-inspection
STARBUCKS	MANHATTAN	2252	BROADWAY	10024	Cafe/Coffee/Tea	5/12/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	5/12/15	Cycle Inspection / Initial Inspection
CROWN FRIED CHICKEN	QUEENS	13518	JAMAICA AVE	11418	Chicken	10/22/13	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	10	A	10/22/13	Cycle Inspection / Initial Inspection
AUSTIN PUBLIC	QUEENS	7028	AUSTIN ST	11375	Irish	3/30/16	Violations were cited in the following area(s).	09B	Thawing procedures improper.	Not Critical	8	A	3/30/16	Cycle Inspection / Re-inspection
CADAQUES	BROOKLYN	188	GRAND STREET	11211	Spanish	1/9/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	9	A	1/9/14	Cycle Inspection / Re-inspection
PICK & EAT	MANHATTAN	4179	BROADWAY	10033	American	3/4/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	3/4/14	Cycle Inspection / Re-inspection
BON BON JUICE BAR & GRILL	MANHATTAN	334	AUDUBON AVENUE	10033	Juice, Smoothies, Fruit Salads	12/15/14	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	17	B	12/15/14	Cycle Inspection / Re-inspection
CHINA TASTE	STATEN ISLAND	1812	HYLAN BOULEVARD	10305	Chinese	6/11/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	5	A	6/11/15	Cycle Inspection / Initial Inspection
26 SEATS	MANHATTAN	168	AVENUE B	10009	French	4/10/13	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	11	A	4/10/13	Cycle Inspection / Re-inspection
SUPER POLLO RESTAURANT	QUEENS	865	WOODWARD AVENUE	11385	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	6/7/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	6/7/13	Cycle Inspection / Re-inspection
WOLF AND DEER BROOKLYN	BROOKLYN	74	5 AVENUE	11217	American	4/18/14	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	26	B	4/18/14	Cycle Inspection / Re-inspection
PAM REAL THAI 49	MANHATTAN	404	W 49TH ST	10019	Thai	6/21/16	Violations were cited in the following area(s).	04M	Live roaches present in facility's food and/or non-food areas.	Critical	20	B	6/21/16	Cycle Inspection / Re-inspection
MANNA'S RESTAURANT	MANHATTAN	2353	8 AVENUE	10027	Soul Food	3/25/16	Violations were cited in the following area(s).	10E	Accurate thermometer not provided in refrigerated or hot holding equipment.	Not Critical	4	A	3/25/16	Cycle Inspection / Re-inspection
Caribbean Jerkee's Delight	BROOKLYN	932	UTICA AVE	11203	Caribbean	4/24/14	Establishment re-opened by DOHMH	10A	Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.	Not Critical	9	C	4/24/14	Pre-permit (Operational) / Reopening Inspection
CONVIVIUM OSTERIA	BROOKLYN	68	5 AVENUE	11217	Italian	11/1/13	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	8	A	11/1/13	Cycle Inspection / Re-inspection
TRUMP CAFE & GRILL	MANHATTAN	725	5 AVENUE	10022	American	10/21/13	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	16	B	10/21/13	Cycle Inspection / Re-inspection
COLD STONE CREAMERY	QUEENS	17660	UNION TURNPIKE	11366	Ice Cream, Gelato, Yogurt, Ices	4/3/14	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	3	A	4/3/14	Cycle Inspection / Initial Inspection
NY PIZZA CAFE & SPANISH FOOD RESTAURANT	BROOKLYN	1485	MYRTLE AVENUE	11237	Pizza	5/25/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	11	A	5/25/13	Cycle Inspection / Initial Inspection
MAMAJUANA CAFE	BRONX	3233	EAST TREMONT AVENUE	10461	Spanish	3/27/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	18	B	3/27/15	Cycle Inspection / Re-inspection
ALEX LUNCHEONETTE	BROOKLYN	685	KNICKERBOCKER AVENUE	11221	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	2/19/14	Violations were cited in the following area(s).	02C	Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65籾綣 F or above within 2 hours.	Critical	7	A	2/19/14	Cycle Inspection / Initial Inspection
CAFFE ITALIA	BROOKLYN	6917	18 AVENUE	11204	Cafe/Coffee/Tea	7/3/14	Violations were cited in the following area(s).	08C	Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.	Not Critical	5	A	7/3/14	Cycle Inspection / Initial Inspection
THE TAP HOUSE	QUEENS	7207	AUSTIN STREET	11375	American	9/11/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	53	C	9/11/15	Cycle Inspection / Re-inspection
3 D'S LEGACY SALAD & GRILL	BRONX	445	MORRIS PARK AVENUE	10460	Latin (Cuban, Dominican, Puerto Rican, South & Central American)	1/14/16	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	1/14/16	Cycle Inspection / Re-inspection
THE BAGEL STORE	BROOKLYN	754	METROPOLITAN AVENUE	11211	Continental	7/25/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	7/25/13	Cycle Inspection / Initial Inspection
CAKES 'N SHAPES	MANHATTAN	466	WEST   51 STREET	10019	Bakery	2/20/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	9	A	2/20/14	Cycle Inspection / Initial Inspection
ISLAND BURGERS AND SHAKES	MANHATTAN	766	NINTH AVENUE	10019	Hamburgers	1/19/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	7	A	1/19/16	Cycle Inspection / Re-inspection
OSTERIA DEL PRINCIPE	MANHATTAN	1	MADISON AVENUE	10010	Italian	2/15/13	Violations were cited in the following area(s).	06E	Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.	Critical	12	A	2/15/13	Cycle Inspection / Initial Inspection
CHIPOTLE MEXICAN GRILL	MANHATTAN	19	ST MARKS PLACE	10003	Mexican	10/21/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	11	A	10/21/15	Cycle Inspection / Initial Inspection
JOE'S PIZZERIA RESTAURANT & DELI	QUEENS	6116	FLUSHING AVENUE	11378	Pizza	10/9/14	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	13	A	10/9/14	Cycle Inspection / Initial Inspection
SAI THAI KITCHEN	BROOKLYN	437	5 AVENUE	11215	Thai	8/11/15	Violations were cited in the following area(s).	04H	Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.	Critical	9	A	8/11/15	Cycle Inspection / Re-inspection
BELLE HARBOR STEAKHOUSE	QUEENS	268	BEACH  116 STREET	11694	Steak	2/10/16	Violations were cited in the following area(s).	06C	Food not protected from potential source of contamination during storage, preparation, transportation, display or service.	Critical	8	A	2/10/16	Cycle Inspection / Initial Inspection
GOLDEN PALACE CHINESE RESTAURANT	BRONX	682	CASTLE HILL AVENUE	10473	Chinese	2/5/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	13	A	2/5/15	Cycle Inspection / Re-inspection
BEST WESTERN HOTEL HOSPITALITY HOUSE	MANHATTAN	145	EAST   49 STREET	10017	American	3/17/16	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	2	A	3/17/16	Cycle Inspection / Initial Inspection
PICCOLA CUCINA	MANHATTAN	184	PRINCE STREET	10012	Italian	12/4/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	15	B	12/4/14	Cycle Inspection / Re-inspection
CHINA CITY	BROOKLYN	1282	NOSTRAND AVE	11226	Chinese	3/12/14	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	19	B	3/12/14	Pre-permit (Operational) / Re-inspection
BROOME STREET BAR	MANHATTAN	363	WEST BROADWAY	10013	American	2/7/15	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	9	A	2/7/15	Cycle Inspection / Initial Inspection
LA RUANA PAISA	QUEENS	9203	37TH AVE	11372	Spanish	4/9/15	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	11	A	4/9/15	Cycle Inspection / Re-inspection
LIBERTY KENNEDY FRIED CHICKEN & PIZZA	QUEENS	11101	LIBERTY AVE	11419	Chicken	7/16/15	Violations were cited in the following area(s).	06D	Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.	Critical	7	A	7/16/15	Cycle Inspection / Initial Inspection
BISTRO 61	MANHATTAN	1113	1 AVENUE	10065	French	6/19/14	Violations were cited in the following area(s).	10D	Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.	Not Critical	11	A	6/19/14	Cycle Inspection / Initial Inspection
BARBONE	MANHATTAN	186	AVENUE B	10009	Italian	11/12/13	Violations were cited in the following area(s).	10B	Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.	Not Critical	9	A	11/12/13	Cycle Inspection / Re-inspection
BEANS AND LEAVES	STATEN ISLAND	422	FOREST AVENUE	10301	Cafe/Coffee/Tea	3/23/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	7	A	3/23/16	Cycle Inspection / Initial Inspection
BARBES	BROOKLYN	376	NINTH STREET	11215	American	5/20/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	17	B	5/20/15	Cycle Inspection / Re-inspection
1617-A NATIONAL BAKERY	BRONX	1617	WESTCHESTER AVENUE	10472	Bakery	8/9/13	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	10	A	8/9/13	Cycle Inspection / Re-inspection
FAMOUS FAMIGLIA PIZZERIA	MANHATTAN	488	8 AVENUE	10001	Pizza	8/2/16	Violations were cited in the following area(s).	10F	Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.	Not Critical	20	B	8/2/16	Cycle Inspection / Re-inspection
ON TRACK BAR (O.T.B.)	BROOKLYN	141	BROADWAY	11211	American	5/15/15	Violations were cited in the following area(s).	10I	Single service item reused, improperly stored, dispensed; not used when required.	Not Critical	9	A	5/15/15	Cycle Inspection / Initial Inspection
Golding Cafe (NEW YORK UNIVERSITY LAW SCHOOL - VANDERBILT HALL)	MANHATTAN	40	WASHINGTON SQUARE SOUTH	10012	American	8/31/15	Violations were cited in the following area(s).	08A	Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.	Not Critical	12	A	8/31/15	Cycle Inspection / Initial Inspection
PANCOAN SOCIETY HIPPOCRATES	QUEENS	4119	23 AVENUE	11369	Greek	5/29/14	Violations were cited in the following area(s).	04L	Evidence of mice or live mice present in facility's food and/or non-food areas.	Critical	10	A	5/29/14	Cycle Inspection / Re-inspection
MICHAEL'S CAFE	QUEENS	2705	39 AVENUE	11101	American	5/19/14	Violations were cited in the following area(s).	02G	Cold food item held above 41 degrees F (smoked fish and reduced oxygen packaged foods above 38 degrees F) except during necessary preparation.	Critical	12	A	5/19/14	Cycle Inspection / Re-inspection
